Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,ON,Ontario,Ontario,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,ON,Ontario,Ontario,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,AB,Alberta,Alberta,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,AB,Alberta,Alberta,Fir,Sapin,Unspecified,Indéterminé,,u,,u
