Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Number of seedlings,Data qualifier,Nombre de semis,Qualificatifs de données
1975,1975,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,2945634,a,2945634,a
1975,1975,AB,Alberta,Alberta,Spruce,Épinette,Provincial land,Terres provinciales,3525575,a,3525575,a
1975,1975,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,a,0,a
1975,1975,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1975,1975,YK,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,0,a,0,a
1976,1976,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
1976,1976,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,a,0,a
1976,1976,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,0,a,0,a
1976,1976,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,3061998,a,3061998,a
1976,1976,AB,Alberta,Alberta,Spruce,Épinette,Provincial land,Terres provinciales,4374757,a,4374757,a
1976,1976,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1976,1976,YK,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
